# start length peak_entropy
354 1 7.305201
355 1 7.265572
356 1 7.186810
357 1 7.327921
358 1 7.400523
359 1 7.353865
360 1 7.357697
361 1 7.318972
362 1 7.135199
363 1 7.337901
364 1 7.038515
365 1 7.092273
366 1 7.026309
367 1 7.397865
368 1 7.351911
369 1 7.206515
370 1 7.265959
371 1 7.150892
372 1 7.365848
373 1 7.231225
374 1 7.170002
375 1 7.235076
376 1 7.360539
377 1 7.185769
378 1 7.462378
379 1 7.260102
380 1 7.245607
381 1 7.285241
382 1 7.304500
383 1 7.363386
384 1 7.377768
385 1 7.227836
386 1 7.323076
387 1 7.411172
388 1 7.267379
389 1 7.440963
390 1 7.174374
391 1 7.296102
392 1 7.285763
393 1 7.256760
394 1 7.411059
395 1 7.407534
396 1 7.442611
397 1 7.361999
398 1 7.321684
399 1 7.367087
400 1 7.301229
401 1 7.330049
402 1 7.385475
403 1 7.327339
404 1 7.369836
405 1 7.140454
406 1 7.326149
407 1 7.281823
408 1 7.344235
409 1 7.201575
410 1 7.393857
411 1 7.343349
412 1 7.291112
413 1 7.360406
414 1 7.168363
415 1 7.308970
416 1 7.201582
417 1 7.072197
418 1 7.267241
419 1 7.294946
420 1 7.454422
421 1 7.146464
422 1 7.371925
423 1 7.215450
424 1 7.156295
425 1 7.222929
426 1 7.397999
427 1 7.132540
428 1 7.145759
429 1 7.207213
430 1 7.125382
431 1 7.396858
432 1 7.254283
433 1 7.207456
434 1 7.443819
435 1 7.315656
436 1 7.399970
437 1 7.378935
438 1 7.369401
439 1 7.466150
440 1 7.284270
441 1 7.377898
442 1 7.138788
443 1 7.313370
444 1 7.354794
445 1 7.268910
446 1 7.177145
447 1 7.279658
448 1 7.312866
449 1 7.241129
450 1 7.387870
451 1 7.420515
452 1 7.476729
453 1 7.192548
454 1 7.166868
455 1 7.262948
456 1 7.365705
457 1 7.189151
458 1 7.385583
459 1 7.273458
460 1 7.255225
461 1 7.302709
462 1 7.333658
463 1 7.401759
464 1 7.357307
465 1 7.383955
466 1 7.366786
467 1 7.504356
468 1 7.307091
469 1 7.269774
470 1 7.256659
471 1 7.321343
472 1 7.299887
473 1 7.377212
474 1 7.410379
475 1 7.171120
476 1 7.406549
477 1 7.346374
478 1 7.349524
479 1 7.341830
480 1 7.377431
481 1 7.302505
482 1 7.339143
483 1 6.949174
484 1 7.245724
485 1 7.329514
486 1 7.374915
487 1 7.390267
488 1 7.367767
489 1 7.294064
490 1 7.423444
491 1 7.364976
492 1 7.330605
493 1 7.245174
494 1 6.972350
495 1 7.371604
496 1 7.316601
497 1 7.385659
498 1 7.305490
499 1 7.356864
500 1 7.254365
501 1 7.235218
502 1 7.377559
503 1 7.165496
504 1 7.336501
505 1 7.200907
506 1 7.387158
507 1 7.280457
508 1 7.235357
509 1 7.255099
510 1 6.940073
511 1 7.154927
